CLIENT,NODE_KEY,BP_ROLE,EMAIL_ADDRESS,PHONE_NUMBER,FAX_NUMBER,WEB_ADDRESS,ADDRESS_GUID_NODE_KEY,BP_ID,COMPANY_NAME,LEGAL_FORM,CREATED_BY,CREATED_AT,CHANGED_BY,CHANGED_AT,CURRENCY_CODE,DUMMY_FIELD_BPA,APPROVAL_STATUS
100,750531BCE7BA1EDF91EAE92F3C4EAC23,01,customer-do.not.reply@sap.com,0622734567,0622734004,http://www.sap.com,750531BCE7BA1EDF91EAE92F3C2C2C23,0100000000,SAP,SE,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,EUR,,X
100,750531BCE7BA1EDF91EAE92F3C4ECC23,01,customer-dagmar.schulze@beckerberlin.de,3088530,3088004,http://www.beckerberlin.de,750531BCE7BA1EDF91EAE92F3C2C8C23,0100000001,Becker Berlin,GmbH,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,EUR,,X
100,750531BCE7BA1EDF91EAE92F3C4EEC23,01,customer-maria.brown@delbont.com,3023352668,3023352004,http://www.delbont.com,750531BCE7BA1EDF91EAE92F3C2CEC23,0100000002,DelBont Industries,Ltd.,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,USD,,X
100,750531BCE7BA1EDF91EAE92F3C4F0C23,01,customer-saskia.sommer@talpa-hannover.de,511403266,511403004,http://www.talpa-hannover.de,750531BCE7BA1EDF91EAE92F3C2D4C23,0100000003,Talpa,GmbH,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,EUR,,X
100,750531BCE7BA1EDF91EAE92F3C4F2C23,01,customer-bob.buyer@panorama-studios.biz,2244668800,2244668004,http://www.panorama-studios.biz,750531BCE7BA1EDF91EAE92F3C2DAC23,0100000004,Panorama Studios,Inc.,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,USD,,X
100,750531BCE7BA1EDF91EAE92F3C4F4C23,01,customer-bart.koenig@tecum-ag.de,2511415,2511004,http://www.tecum-ag.de,750531BCE7BA1EDF91EAE92F3C2E0C23,0100000005,TECUM,AG,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,EUR,,X
100,750531BCE7BA1EDF91EAE92F3C4F6C23,01,customer-yoko.nakamura@asia-ht.com,9078563412,9078563004,http://www.asia-ht.com,750531BCE7BA1EDF91EAE92F3C2E6C23,0100000006,Asia High tech,Inc.,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,JPY,,X
100,750531BCE7BA1EDF91EAE92F3C4F8C23,01,customer-sophie.ribery@laurent-paris.com,149744423,149744004,http://www.laurent-paris.com,750531BCE7BA1EDF91EAE92F3C2ECC23,0100000007,Laurent,S.A.,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,EUR,,X
100,750531BCE7BA1EDF91EAE92F3C4FAC23,01,customer-victor.sanchez@avantel.com,7257716,7257004,http://www.avantel.com,750531BCE7BA1EDF91EAE92F3C2F2C23,0100000008,AVANTEL,S.A.,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,MXN,,X
100,750531BCE7BA1EDF91EAE92F3C4FCC23,01,customer-jorge.velez@telecomunicacionesstar.com,1133557799,1133557004,http://www.telecomunicacionesstar.com,750531BCE7BA1EDF91EAE92F3C2F8C23,0100000009,Telecomunicaciones Star,S.A.,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,750531BCE7BA1EDF91EAE92F3C194C23,20240721114929.0000000 ,ARS,,X
